FID_grid,Longitude,Latitude,Samara species richness,Woody samara species richness,Herb samara species richness,Total species,Precentage of total samara,Precentage of woody samara,Precentage of herb samara,Altitude,TOP,ARI,MAT,MDR,TS,TWarmQ,MTCQ,AP,PS,PWQ,PDQ,AMeanW,AMaxW,AMinW
887,120.8978806,45.86286163,4,1,3,74,0.054054054,0.0625,0.051724138,648.5098,151.9794,0.788655029,1.3125,12.74166667,1414.870898,17.96666667,-16.9,453,122.7001245,326,9,3.466666679,4.699999809,2.599999905
888,122.17173,45.7143631,0,0,0,18,0,NA,0,260.3264,85.9727,0.029013657,4.8375,12.09166667,1428.594549,21.61666667,-13.63333333,416,129.98143,310,6,3.416666667,4.599999905,2.599999905
889,123.439888,45.55464935,5,0,5,244,0.020491803,0,0.023255814,136.443,6.6401,0.004131775,5.154166667,11.825,1453.387045,22.21666667,-13.7,411,126.2284581,297,6,3.558333298,4.800000191,2.799999952
890,124.7019882,45.38381195,0,0,0,78,0,0,0,134.7876,14.5057,0.004217361,4.9125,11.825,1473.463954,22.1,-14.35,441,120.8254912,309,8,3.5,4.800000191,2.799999952
891,125.9576721,45.20194244,6,2,4,104,0.057692308,0.125,0.045977011,163.9124,26.4642,0.015464813,4.254166667,12.14166667,1511.993654,21.78333333,-15.65,540,113.5411049,363,13,3.408333341,4.699999809,2.700000048
892,127.2065887,45.00915146,10,8,2,203,0.049261084,0.205128205,0.012195122,223.2453,67.1697,0.018792587,3.420833333,12.79166667,1504.587618,20.76666667,-16.51666667,627,106.7290863,406,19,3.208333353,4.300000191,2.5
893,128.4483948,44.80553818,42,27,15,815,0.051533742,0.164634146,0.023006135,498.6973,273.7842,0.651670441,2.4125,12.95833333,1472.604565,19.43333333,-17.06666667,649,101.7925393,409,20,3.166666647,4.099999905,2.400000095
894,129.6827698,44.59121323,7,5,2,102,0.068627451,0.217391304,0.025316456,470.0899,159.9745,0.174640549,4.233333333,12.3,1424.072798,20.66666667,-14.56666667,546,96.36440482,331,18,2.966666659,3.799999952,2.299999952
895,130.7456055,44.35071182,17,13,4,285,0.059649123,0.196969697,0.018348624,526.6671,169.7526,0.754809265,2.079166667,12.05833333,1357.366197,17.83333333,-15.66666667,587,95.78855281,351,21,3.175000012,3.900000095,2.400000095
896,83.14588928,45.9663353,8,1,7,501,0.015968064,0.013513514,0.01635514,1319.3636,616.6562,0.614082275,0.075,11.21666667,1282.042936,14.73333333,-16.76666667,348,57.9996608,157,33,3.033333321,3.900000095,1.899999976
897,84.38452911,46.16787338,13,3,10,628,0.020700637,0.038461538,0.01814882,1171.1846,451.0742,0.580305359,5.716666667,11.61666667,1452.154095,22.33333333,-13.43333333,194,57.41309722,86,20,2.741666655,3.799999952,1.5
898,85.65885925,46.34719086,12,1,11,749,0.016021362,0.010638298,0.016768293,775.4754,443.8397,0.134223907,7.354166667,11.84166667,1435.508238,23.88333333,-11.43333333,128,58.25041455,57,13,2.691666653,3.799999952,1.5
899,86.93967438,46.51527786,12,1,11,749,0.016021362,0.010638298,0.016768293,690.631,234.2835,0.215060852,5.508333333,11.96666667,1370.590174,21.26666667,-12.36666667,141,53.96345054,61,15,2.583333333,3.599999905,1.600000024
900,88.22659302,46.67203903,23,7,16,471,0.048832272,0.072164948,0.042553191,668.3316,94.6802,0.207698364,5.070833333,12.84166667,1456.965181,21.55,-14.15,154,36.06726927,54,21,2.216666669,3.299999952,1
901,89.5192337,46.817379,19,5,14,640,0.0296875,0.051020408,0.025830258,1135.1447,378.8326,0.022511169,3.125,14.26666667,1504.348998,19.96666667,-16.98333333,170,34.29604841,59,25,1.850000029,3,0.600000024
902,90.59094238,46.89267349,18,6,12,602,0.029900332,0.063157895,0.023668639,2202.8239,574.6901,1.425707886,0.075,13.71666667,1376.557795,15.9,-18.08333333,152,71.43702508,76,12,1.850000009,3,0.600000024
